Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
67,1115,0.01,0.28,0.48,0.01,0.34,0.45,1.07,1.47,0.27,129.92
68,1124,0.01,0.28,0.48,0.01,0.35,0.48,0.81,0.68,0.32,131.74
69,1121,0.01,0.29,0.46,0.01,0.33,0.44,1.00,1.53,0.33,134.59
70,1120,0.01,0.29,0.46,0.01,0.33,0.47,0.69,0.94,0.16,136.38
71,1121,0.01,0.28,0.47,0.01,0.34,0.46,0.91,0.86,0.30,138.45
72,1124,0.01,0.28,0.46,0.01,0.33,0.46,1.12,1.29,0.15,141.01
73,1131,0.01,0.29,0.46,0.02,0.35,0.47,0.69,0.75,0.32,142.77
74,1125,0.01,0.30,0.46,0.01,0.34,0.48,0.99,1.41,0.32,145.49
75,1126,0.01,0.28,0.46,0.01,0.38,0.51,0.76,0.71,0.19,147.16
76,1117,0.00,0.30,0.46,0.01,0.35,0.47,0.83,0.93,0.30,149.22
77,1114,0.01,0.30,0.47,0.01,0.36,0.51,1.15,1.33,0.23,151.94
78,1118,0.01,0.31,0.51,0.01,0.34,0.46,0.78,0.73,0.22,153.67
79,1118,0.01,0.30,0.49,0.01,0.36,0.48,0.84,1.52,0.31,156.34
80,1116,0.01,0.33,0.51,0.09,0.34,0.47,1.28,0.71,0.18,158.51
81,1107,0.01,0.28,0.49,0.08,0.33,0.45,0.58,0.90,0.19,160.18
82,1106,0.01,0.29,0.49,0.08,0.34,0.46,1.10,1.40,0.30,162.98
83,1119,0.01,0.31,0.51,0.07,0.36,0.50,0.74,0.91,0.18,164.82
84,1108,0.01,0.30,0.50,0.01,0.37,0.54,1.07,1.20,0.29,167.37
85,1120,0.01,0.28,0.50,0.01,0.33,0.45,1.35,0.66,0.24,169.61
86,1121,0.01,0.30,0.50,0.01,0.34,0.48,0.74,1.21,0.21,171.77
87,1109,0.01,0.30,0.50,0.01,0.34,0.49,1.13,1.41,0.30,174.60
88,1113,0.01,0.29,0.50,0.02,0.37,0.51,0.66,0.86,0.14,176.26
89,1117,0.01,0.28,0.49,0.02,0.36,0.49,1.02,1.01,0.31,178.59
90,1132,0.01,0.27,0.50,0.02,0.36,0.49,1.09,1.17,0.17,181.02
91,1116,0.01,0.30,0.50,0.09,0.34,0.46,0.78,0.74,0.30,182.83
92,1121,0.01,0.30,0.50,0.03,0.33,0.45,1.24,1.38,0.30,185.75
93,1123,0.01,0.30,0.52,0.02,0.36,0.50,0.85,0.59,0.21,187.39
94,1129,0.01,0.29,0.50,0.02,0.35,0.48,0.66,1.35,0.32,189.72
95,1122,0.01,0.29,0.49,0.01,0.36,0.49,0.92,1.42,0.16,192.22
96,1130,0.01,0.29,0.49,0.00,0.35,0.48,0.66,0.71,0.31,193.89
97,1133,0.01,0.28,0.49,0.02,0.35,0.47,1.13,1.24,0.37,196.62
98,1135,0.01,0.29,0.49,0.09,0.39,0.51,0.85,0.59,0.40,198.46
99,1130,0.01,0.29,0.49,0.01,0.39,0.50,0.86,1.03,0.33,200.68
100,1125,0.01,0.30,0.49,0.01,0.38,0.50,1.27,1.29,0.16,203.40
101,1129,0.01,0.31,0.49,0.01,0.37,0.48,0.71,0.83,0.32,205.27
102,1124,0.01,0.31,0.49,0.09,0.36,0.47,1.16,1.52,0.31,208.25
103,1133,0.01,0.28,0.49,0.01,0.37,0.51,0.68,0.87,0.16,209.96
104,1117,0.02,0.31,0.50,0.01,0.40,0.54,0.82,1.13,0.21,212.12
105,1129,0.01,0.30,0.49,0.01,0.40,0.53,1.01,1.60,0.32,215.05
106,1131,0.01,0.32,0.51,0.01,0.39,0.50,0.74,0.79,0.26,216.83
107,1131,0.02,0.32,0.49,0.01,0.38,0.50,1.00,1.07,0.34,219.25
108,1125,0.01,0.32,0.49,0.02,0.38,0.49,1.19,1.20,0.16,221.81
109,1126,0.01,0.31,0.49,0.01,0.40,0.53,0.68,0.96,0.26,223.71
110,1120,0.01,0.33,0.52,0.01,0.34,0.44,1.10,1.51,0.30,226.62
111,1127,0.01,0.29,0.49,0.01,0.36,0.48,0.77,0.75,0.42,228.57
112,1124,0.01,0.31,0.50,0.02,0.36,0.49,0.86,1.43,0.31,231.17
113,1130,0.02,0.30,0.49,0.02,0.36,0.49,1.29,0.64,0.28,233.37
114,1137,0.01,0.32,0.52,0.02,0.36,0.49,0.82,1.17,0.34,235.70
115,1127,0.01,0.31,0.53,0.02,0.41,0.55,1.23,1.55,0.16,238.65
116,1127,0.01,0.32,0.52,0.02,0.36,0.48,0.71,1.09,0.26,240.72
117,1131,0.01,0.32,0.53,0.02,0.36,0.49,1.16,1.63,0.32,243.84
118,1140,0.02,0.31,0.52,0.02,0.39,0.53,0.71,0.87,0.25,245.67
119,1123,0.01,0.31,0.51,0.02,0.38,0.49,0.84,1.54,0.32,248.37
120,1141,0.01,0.31,0.51,0.03,0.38,0.48,1.14,0.73,0.23,250.47
121,1134,0.01,0.33,0.52,0.08,0.39,0.52,0.91,1.15,0.32,252.85
122,1136,0.02,0.30,0.51,0.10,0.40,0.51,1.11,1.13,0.41,255.50
123,1140,0.01,0.33,0.52,0.07,0.36,0.48,0.68,1.25,0.29,257.72
124,1136,0.01,0.33,0.53,0.14,0.39,0.48,1.20,1.35,0.17,260.44
125,1133,0.01,0.34,0.53,0.08,0.37,0.47,0.68,1.05,0.31,262.48
126,1143,0.01,0.32,0.52,0.09,0.38,0.48,0.99,1.80,0.36,265.63
127,1145,0.01,0.32,0.51,0.09,0.38,0.48,0.84,0.78,0.37,267.61
128,1139,0.01,0.33,0.51,0.12,0.40,0.51,1.00,1.68,0.34,270.64
129,1141,0.01,0.33,0.51,0.10,0.39,0.51,0.76,0.90,0.27,272.57
130,1136,0.01,0.32,0.51,0.10,0.40,0.51,0.97,1.58,0.35,275.47
131,1147,0.01,0.34,0.54,0.08,0.39,0.53,0.99,0.68,0.27,277.41
132,1136,0.01,0.29,0.51,0.08,0.39,0.50,0.95,1.21,0.34,279.92
133,1136,0.01,0.31,0.52,0.09,0.38,0.48,1.36,1.26,0.17,282.71
134,1136,0.01,0.33,0.54,0.08,0.40,0.53,0.65,0.96,0.34,284.66
135,1130,0.01,0.32,0.53,0.07,0.43,0.57,1.05,1.84,0.30,287.85
136,1135,0.01,0.32,0.53,0.09,0.36,0.49,0.84,0.73,0.36,289.78
137,1134,0.01,0.30,0.52,0.10,0.40,0.52,0.89,1.52,0.34,292.53
138,1137,0.01,0.32,0.52,0.09,0.37,0.48,0.99,0.84,0.19,294.55
139,1128,0.01,0.31,0.52,0.09,0.39,0.51,1.06,0.89,0.33,296.83
140,1131,0.01,0.32,0.55,0.10,0.40,0.55,1.24,1.32,0.22,299.61
141,1126,0.01,0.31,0.53,0.10,0.41,0.53,0.76,0.85,0.34,301.56
142,1135,0.01,0.31,0.52,0.08,0.38,0.52,0.88,1.45,0.37,304.25
143,1127,0.01,0.31,0.52,0.09,0.39,0.53,1.09,0.75,0.21,306.30
144,1129,0.01,0.32,0.52,0.02,0.39,0.52,0.97,1.08,0.34,308.70
145,1137,0.01,0.31,0.52,0.08,0.37,0.48,1.25,1.29,0.29,311.53
146,1130,0.01,0.33,0.54,0.02,0.42,0.55,0.64,0.88,0.20,313.25
147,1128,0.01,0.33,0.52,0.02,0.38,0.50,1.07,1.02,0.43,315.77
148,1127,0.01,0.30,0.52,0.02,0.39,0.51,1.08,1.28,0.21,318.35
149,1139,0.01,0.33,0.54,0.02,0.38,0.51,0.71,1.32,0.38,320.76
150,1130,0.02,0.31,0.52,0.02,0.42,0.54,1.21,1.41,0.18,323.57
151,1138,0.01,0.30,0.52,0.02,0.39,0.50,0.81,0.90,0.27,325.55
152,1127,0.01,0.34,0.58,0.12,0.40,0.53,1.17,1.72,0.21,328.65
153,1136,0.01,0.33,0.55,0.12,0.42,0.54,0.87,0.92,0.43,330.87
154,1137,0.01,0.32,0.54,0.12,0.39,0.53,1.00,1.88,0.45,334.20
155,1133,0.01,0.32,0.54,0.08,0.39,0.51,0.68,1.00,0.19,336.07
156,1121,0.01,0.33,0.55,0.13,0.40,0.51,1.14,0.96,0.36,338.53
157,1132,0.02,0.33,0.53,0.12,0.41,0.54,1.23,1.45,0.19,341.40
158,1132,0.01,0.34,0.55,0.14,0.42,0.54,0.68,1.11,0.29,343.48
159,1142,0.01,0.34,0.57,0.09,0.43,0.55,1.24,1.66,0.34,346.72
160,1129,0.01,0.32,0.55,0.09,0.41,0.53,0.94,0.88,0.36,348.91
161,1149,0.01,0.33,0.54,0.10,0.42,0.53,0.82,1.40,0.41,351.54
162,1141,0.01,0.34,0.55,0.13,0.41,0.53,1.11,0.87,0.32,353.85
163,1124,0.01,0.31,0.55,0.15,0.40,0.51,0.69,1.34,0.37,356.24
164,1135,0.01,0.32,0.55,0.09,0.40,0.50,1.43,1.48,0.25,359.40
165,1149,0.01,0.34,0.55,0.09,0.40,0.51,0.74,1.36,0.42,361.92
166,1133,0.01,0.33,0.55,0.06,0.42,0.56,0.96,1.76,0.19,364.83
167,1139,0.01,0.31,0.55,0.11,0.38,0.48,0.66,1.22,0.26,366.98
168,1136,0.00,0.32,0.53,0.02,0.42,0.54,1.04,1.73,0.31,370.06
169,1135,0.01,0.31,0.55,0.02,0.40,0.52,0.79,0.86,0.36,372.09
170,1142,0.01,0.30,0.55,0.02,0.41,0.55,0.93,1.95,0.37,375.34
171,1136,0.01,0.32,0.53,0.01,0.43,0.57,1.25,0.74,0.33,377.65
172,1132,0.01,0.32,0.54,0.02,0.39,0.53,0.89,1.22,0.37,380.13
173,1132,0.01,0.31,0.55,0.07,0.39,0.50,1.29,1.51,0.18,383.11
174,1134,0.01,0.30,0.53,0.08,0.40,0.54,0.66,1.08,0.37,385.23
175,1125,0.01,0.32,0.55,0.09,0.41,0.55,1.04,1.67,0.38,388.34
176,1142,0.01,0.30,0.55,0.02,0.39,0.52,0.74,1.06,0.20,390.34
177,1131,0.01,0.32,0.55,0.08,0.40,0.53,0.92,1.51,0.42,393.18
178,1128,0.01,0.32,0.55,0.10,0.40,0.52,1.42,0.92,0.34,395.87
179,1136,0.01,0.31,0.55,0.08,0.42,0.54,0.80,1.64,0.39,398.70
180,1133,0.01,0.31,0.55,0.08,0.38,0.50,1.17,1.57,0.23,401.67
181,1132,0.01,0.32,0.55,0.08,0.44,0.58,0.80,1.39,0.37,404.23
182,1130,0.01,0.33,0.55,0.09,0.40,0.51,1.14,1.44,0.39,407.20
183,1135,0.01,0.31,0.55,0.09,0.40,0.51,0.91,1.04,0.43,409.57
184,1126,0.01,0.34,0.57,0.09,0.40,0.52,1.05,2.07,0.27,412.96
185,1128,0.00,0.34,0.55,0.08,0.41,0.54,0.69,1.03,0.31,415.00
186,1131,0.01,0.33,0.55,0.09,0.43,0.58,0.84,1.53,0.40,417.76
187,1133,0.01,0.32,0.55,0.10,0.41,0.55,1.17,0.84,0.48,420.25
188,1135,0.01,0.31,0.55,0.09,0.39,0.53,0.73,1.70,0.42,423.10
189,1133,0.01,0.31,0.55,0.10,0.39,0.50,1.50,0.98,0.25,425.83
190,1139,0.01,0.31,0.55,0.09,0.42,0.54,0.95,1.29,0.42,428.49
191,1126,0.01,0.33,0.55,0.08,0.41,0.52,1.17,1.72,0.19,431.57
192,1132,0.02,0.32,0.55,0.08,0.39,0.48,0.94,0.92,0.42,433.85
193,1138,0.01,0.35,0.55,0.10,0.41,0.54,0.92,2.10,0.41,437.28
194,1134,0.02,0.34,0.55,0.10,0.39,0.51,0.70,1.10,0.19,439.27
195,1133,0.01,0.33,0.55,0.12,0.40,0.50,1.08,1.29,0.42,442.05
196,1124,0.02,0.35,0.55,0.11,0.41,0.53,1.07,1.52,0.19,444.83
197,1130,0.01,0.32,0.55,0.03,0.40,0.51,0.72,1.31,0.29,447.16
198,1140,0.01,0.31,0.55,0.03,0.40,0.52,1.20,2.18,0.20,450.74
199,1132,0.01,0.35,0.55,0.03,0.38,0.51,0.70,1.51,0.31,453.27
200,1127,0.01,0.31,0.55,0.03,0.41,0.54,1.16,1.72,0.27,456.41
201,1129,0.01,0.33,0.55,0.03,0.41,0.53,0.69,1.09,0.41,458.61
202,1134,0.01,0.34,0.55,0.03,0.36,0.45,0.95,1.86,0.41,461.83
203,1130,0.01,0.37,0.56,0.07,0.42,0.54,0.99,1.04,0.21,464.07
204,1137,0.01,0.34,0.55,0.04,0.40,0.52,0.85,1.45,0.43,466.80
205,1113,0.01,0.33,0.54,0.03,0.41,0.53,1.22,1.52,0.18,469.73
206,1128,0.01,0.33,0.54,0.03,0.40,0.54,0.68,1.29,0.31,472.01
207,1119,0.01,0.36,0.56,0.02,0.39,0.52,0.99,1.94,0.35,475.29
208,1126,0.01,0.34,0.55,0.03,0.42,0.58,0.66,1.15,0.19,477.29
209,1132,0.01,0.33,0.54,0.02,0.40,0.53,0.93,1.32,0.48,480.01
210,1117,0.01,0.33,0.54,0.14,0.38,0.50,1.24,1.48,0.33,483.06
211,1130,0.01,0.35,0.54,0.08,0.40,0.52,0.78,1.48,0.42,485.74
212,1128,0.01,0.33,0.54,0.16,0.42,0.54,1.53,1.66,0.27,489.20
213,1124,0.01,0.32,0.54,0.14,0.38,0.49,0.59,1.34,0.41,491.55
214,1123,0.01,0.32,0.54,0.08,0.41,0.55,1.39,1.81,0.19,494.94
215,1133,0.01,0.32,0.54,0.09,0.40,0.53,0.65,1.20,0.36,497.15
216,1129,0.01,0.33,0.54,0.08,0.42,0.54,1.11,2.07,0.26,500.61
217,1137,0.01,0.35,0.54,0.09,0.43,0.56,0.72,1.04,0.44,502.80
218,1123,0.01,0.32,0.54,0.09,0.39,0.51,0.93,1.92,0.41,506.07
219,1135,0.01,0.32,0.54,0.08,0.41,0.53,0.69,1.13,0.21,508.09
220,1133,0.01,0.33,0.54,0.07,0.42,0.54,0.90,1.43,0.45,510.88
221,1129,0.01,0.34,0.54,0.08,0.42,0.56,1.22,1.43,0.23,513.76
222,1134,0.01,0.33,0.54,0.08,0.40,0.53,0.68,1.50,0.43,516.38
223,1132,0.01,0.34,0.54,0.09,0.42,0.53,1.30,1.91,0.20,519.79
224,1139,0.01,0.33,0.54,0.03,0.41,0.56,0.71,1.33,0.22,522.05
225,1131,0.00,0.34,0.55,0.03,0.39,0.52,1.04,1.97,0.40,525.46
226,1130,0.01,0.33,0.54,0.02,0.38,0.51,0.69,1.14,0.42,527.71
227,1135,0.01,0.34,0.54,0.02,0.41,0.56,1.08,2.07,0.41,531.27
228,1130,0.01,0.34,0.54,0.08,0.42,0.56,0.70,1.09,0.42,533.48
229,1133,0.01,0.33,0.54,0.09,0.41,0.52,0.85,2.26,0.43,537.02
230,1137,0.01,0.36,0.55,0.03,0.41,0.53,0.79,1.17,0.19,539.18
231,1152,0.01,0.35,0.54,0.02,0.39,0.52,0.91,1.53,0.49,542.11
232,1137,0.02,0.36,0.55,0.03,0.44,0.57,1.03,1.63,0.35,545.12
233,1136,0.01,0.34,0.54,0.09,0.44,0.55,0.75,1.59,0.45,547.90
234,1138,0.01,0.36,0.54,0.09,0.42,0.54,1.03,1.91,0.24,551.09
235,1137,0.01,0.36,0.56,0.10,0.44,0.56,0.82,1.06,0.39,553.36
236,1139,0.01,0.36,0.55,0.03,0.42,0.56,1.07,2.66,0.26,557.35
237,1138,0.01,0.35,0.55,0.03,0.42,0.56,0.66,1.42,0.36,559.80
238,1135,0.01,0.35,0.54,0.02,0.43,0.56,1.08,2.01,0.38,563.27
239,1149,0.01,0.33,0.54,0.03,0.41,0.55,0.91,1.08,0.26,565.51
240,1146,0.01,0.34,0.54,0.08,0.43,0.55,1.03,2.36,0.22,569.12
241,1140,0.01,0.35,0.54,0.02,0.42,0.53,0.81,1.14,0.30,571.37
242,1137,0.01,0.33,0.54,0.02,0.40,0.51,1.12,2.48,0.21,575.17
243,1135,0.01,0.34,0.55,0.02,0.41,0.53,0.93,1.04,0.41,577.55
244,1139,0.01,0.32,0.53,0.02,0.38,0.50,1.25,2.20,0.37,581.37
245,1140,0.01,0.33,0.54,0.02,0.38,0.51,0.95,1.07,0.43,583.82
246,1148,0.01,0.36,0.57,0.10,0.41,0.55,1.12,2.09,0.48,587.52
247,1131,0.01,0.36,0.56,0.08,0.42,0.56,0.72,1.32,0.45,590.01
248,1137,0.01,0.32,0.55,0.09,0.40,0.52,1.12,2.42,0.36,593.92
249,1140,0.01,0.32,0.55,0.09,0.43,0.57,0.92,1.05,0.50,596.38
250,1142,0.01,0.34,0.56,0.02,0.41,0.54,1.09,2.02,0.42,599.91
251,1142,0.01,0.35,0.55,0.02,0.44,0.57,0.71,1.40,0.35,602.37
252,1138,0.01,0.36,0.55,0.02,0.39,0.52,1.01,2.50,0.27,606.14
253,1143,0.01,0.33,0.55,0.01,0.38,0.50,0.77,1.31,0.54,608.76
254,1141,0.01,0.35,0.57,0.02,0.40,0.54,1.02,2.09,0.46,612.33
255,1132,0.01,0.33,0.55,0.02,0.40,0.56,0.69,1.30,0.48,614.79
256,1139,0.01,0.34,0.56,0.02,0.42,0.57,0.99,2.25,0.46,618.50
257,1147,0.01,0.33,0.55,0.02,0.41,0.55,0.70,1.28,0.23,620.71
258,1141,0.01,0.32,0.55,0.02,0.42,0.56,0.97,1.49,0.49,623.65
259,1136,0.01,0.34,0.55,0.02,0.43,0.56,1.19,1.72,0.45,627.01
260,1137,0.01,0.35,0.56,0.10,0.42,0.55,0.73,1.70,0.47,629.92
261,1130,0.01,0.32,0.55,0.10,0.40,0.52,1.04,1.97,0.21,633.14
262,1139,0.01,0.34,0.55,0.02,0.42,0.53,0.90,1.25,0.41,635.69
263,1137,0.01,0.38,0.58,0.10,0.40,0.51,1.28,2.37,0.33,639.67
264,1143,0.01,0.36,0.56,0.18,0.44,0.56,0.73,1.64,0.34,642.39
265,1151,0.01,0.35,0.55,0.03,0.45,0.59,1.09,2.59,0.29,646.36
266,1136,0.01,0.33,0.55,0.14,0.40,0.54,0.78,1.14,0.49,648.77
267,1146,0.01,0.34,0.54,0.02,0.39,0.51,1.31,2.21,0.53,652.81
268,1143,0.01,0.34,0.55,0.02,0.42,0.57,0.80,1.23,0.49,655.33
269,1135,0.01,0.34,0.54,0.02,0.41,0.54,1.24,2.82,0.26,659.65
270,1140,0.01,0.35,0.55,0.17,0.43,0.56,0.79,1.08,0.22,661.74
271,1145,0.01,0.35,0.54,0.15,0.40,0.52,0.95,1.32,0.33,664.35
272,1143,0.01,0.32,0.54,0.14,0.41,0.54,0.78,1.35,0.31,666.79
273,1141,0.01,0.33,0.54,0.02,0.42,0.55,0.94,1.28,0.29,669.30
274,1138,0.01,0.34,0.55,0.02,0.43,0.56,1.07,1.31,0.41,672.10
275,1150,0.01,0.32,0.54,0.02,0.41,0.53,1.18,1.08,0.53,674.90
276,1138,0.01,0.35,0.55,0.01,0.41,0.54,0.99,1.12,0.27,677.27
277,1150,0.01,0.35,0.55,0.02,0.39,0.52,0.75,1.50,0.30,679.82
278,1144,0.02,0.34,0.54,0.03,0.40,0.53,1.10,1.52,0.31,682.75
279,1148,0.01,0.36,0.58,0.03,0.43,0.57,0.86,1.85,0.29,685.74
280,1140,0.01,0.36,0.57,0.02,0.38,0.54,1.03,1.66,0.25,688.68
281,1140,0.01,0.33,0.56,0.03,0.43,0.57,0.95,1.60,0.31,691.55
282,1133,0.01,0.35,0.56,0.02,0.39,0.54,0.80,1.60,0.30,694.25
283,1132,0.01,0.33,0.55,0.03,0.41,0.57,0.83,1.44,0.22,696.73
284,1142,0.01,0.33,0.55,0.18,0.42,0.55,1.03,1.50,0.27,699.54
285,1136,0.02,0.32,0.55,0.04,0.42,0.56,0.71,1.79,0.28,702.32
286,1143,0.01,0.33,0.55,0.03,0.41,0.55,0.68,1.71,0.50,705.22
287,1141,0.01,0.38,0.60,0.03,0.39,0.54,0.60,1.42,0.30,707.55
288,1139,0.02,0.32,0.57,0.03,0.42,0.57,0.96,1.30,0.43,710.24
289,1135,0.01,0.35,0.58,0.02,0.44,0.58,0.98,1.07,0.42,712.71
290,1128,0.01,0.38,0.59,0.14,0.40,0.55,0.73,1.61,0.30,715.35
291,1127,0.01,0.34,0.57,0.14,0.41,0.53,1.06,1.80,0.31,718.52
292,1140,0.01,0.34,0.57,0.14,0.41,0.55,0.84,1.90,0.27,721.53
293,1124,0.02,0.36,0.57,0.16,0.42,0.55,0.74,1.55,0.47,724.28
294,1136,0.01,0.34,0.57,0.12,0.45,0.58,0.63,1.54,0.50,726.96
295,1148,0.01,0.33,0.57,0.16,0.44,0.59,1.00,1.10,0.47,729.52
296,1146,0.01,0.36,0.57,0.17,0.44,0.57,1.15,1.35,0.27,732.29
297,1146,0.01,0.36,0.57,0.16,0.40,0.53,0.82,2.04,0.36,735.52
298,1147,0.01,0.35,0.57,0.16,0.39,0.51,1.00,1.64,0.48,738.64
299,1145,0.01,0.35,0.57,0.17,0.44,0.58,0.73,1.67,0.44,741.49
300,1146,0.01,0.35,0.57,0.13,0.44,0.58,0.86,1.13,0.35,743.82
301,1142,0.02,0.39,0.59,0.17,0.44,0.57,0.73,2.01,0.49,747.05
302,1148,0.01,0.37,0.58,0.02,0.40,0.53,0.63,1.73,0.54,749.95
303,1137,0.01,0.37,0.58,0.02,0.44,0.57,0.86,1.18,0.24,752.23
304,1132,0.01,0.36,0.57,0.01,0.44,0.57,0.83,2.04,0.27,755.37
305,1139,0.01,0.38,0.57,0.01,0.43,0.58,0.85,1.81,0.47,758.49
306,1138,0.02,0.37,0.57,0.12,0.44,0.58,0.67,1.68,0.34,761.18
307,1144,0.01,0.35,0.57,0.13,0.44,0.56,1.06,1.06,0.35,763.66
