Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
157,1112,0.01,0.34,0.55,0.11,0.45,0.58,0.62,1.44,0.29,335.91
158,1139,0.01,0.33,0.55,0.12,0.44,0.54,1.28,1.70,0.22,339.12
159,1123,0.01,0.35,0.55,0.11,0.44,0.54,0.93,0.79,0.34,341.17
160,1122,0.01,0.32,0.55,0.10,0.46,0.56,0.91,1.67,0.35,344.10
161,1137,0.01,0.35,0.55,0.11,0.45,0.56,1.06,0.71,0.29,346.16
162,1128,0.01,0.34,0.55,0.11,0.44,0.54,0.73,1.47,0.35,348.71
163,1122,0.01,0.33,0.55,0.12,0.46,0.56,1.32,1.62,0.17,351.81
164,1137,0.01,0.30,0.55,0.12,0.43,0.52,0.90,0.80,0.41,353.92
165,1131,0.01,0.35,0.56,0.10,0.43,0.53,1.02,1.77,0.35,357.06
166,1130,0.01,0.35,0.55,0.13,0.42,0.53,0.82,0.85,0.19,358.91
167,1129,0.01,0.34,0.55,0.11,0.42,0.53,0.88,1.31,0.36,361.46
168,1125,0.01,0.33,0.55,0.12,0.44,0.56,1.00,1.79,0.19,364.44
169,1137,0.01,0.33,0.55,0.13,0.44,0.56,0.84,0.76,0.38,366.43
170,1136,0.01,0.34,0.55,0.11,0.44,0.56,1.10,1.73,0.36,369.62
171,1137,0.01,0.33,0.55,0.12,0.46,0.56,0.85,0.85,0.18,371.51
172,1132,0.01,0.39,0.59,0.13,0.43,0.53,0.90,1.21,0.36,373.98
173,1140,0.02,0.33,0.55,0.11,0.40,0.51,1.32,1.65,0.18,377.13
174,1142,0.02,0.33,0.54,0.12,0.43,0.53,0.79,0.88,0.21,379.01
175,1158,0.02,0.36,0.55,0.11,0.43,0.53,0.96,1.31,0.29,381.57
176,1146,0.01,0.38,0.57,0.11,0.43,0.53,0.90,1.12,0.20,383.80
177,1148,0.02,0.35,0.56,0.12,0.43,0.53,0.89,1.31,0.27,386.27
178,1144,0.02,0.36,0.55,0.10,0.42,0.52,0.80,1.25,0.23,388.55
179,1139,0.01,0.35,0.55,0.11,0.41,0.52,1.06,1.13,0.21,390.95
180,1136,0.01,0.34,0.55,0.11,0.44,0.57,0.90,1.37,0.23,393.45
181,1129,0.01,0.34,0.54,0.11,0.43,0.56,0.58,1.24,0.30,395.57
182,1132,0.01,0.35,0.56,0.08,0.42,0.56,0.68,0.77,0.32,397.35
183,1145,0.01,0.33,0.54,0.12,0.40,0.54,0.93,0.87,0.20,399.35
184,1146,0.01,0.34,0.56,0.12,0.44,0.54,1.03,1.07,0.26,401.71
185,1144,0.01,0.34,0.55,0.12,0.43,0.53,0.57,1.22,0.37,403.86
186,1135,0.01,0.34,0.54,0.12,0.45,0.55,0.79,0.88,0.23,405.76
187,1143,0.01,0.34,0.56,0.12,0.42,0.55,0.88,0.84,0.27,407.76
188,1139,0.01,0.33,0.54,0.12,0.43,0.56,1.09,0.96,0.19,409.99
189,1145,0.01,0.32,0.55,0.11,0.43,0.55,0.77,1.27,0.26,412.29
190,1144,0.01,0.33,0.54,0.13,0.42,0.56,0.71,1.38,0.31,414.68
191,1130,0.01,0.33,0.54,0.11,0.43,0.57,0.82,1.26,0.36,417.12
192,1142,0.02,0.33,0.54,0.13,0.41,0.52,0.84,0.93,0.39,419.28
193,1137,0.01,0.34,0.54,0.13,0.40,0.51,0.92,0.87,0.18,421.26
194,1141,0.01,0.32,0.54,0.11,0.40,0.53,0.93,0.93,0.36,423.48
195,1143,0.01,0.32,0.54,0.10,0.38,0.49,0.74,1.13,0.25,425.61
196,1151,0.01,0.32,0.54,0.12,0.41,0.55,0.84,0.79,0.40,427.63
197,1153,0.01,0.33,0.54,0.11,0.44,0.57,1.18,0.93,0.20,429.94
198,1145,0.00,0.36,0.58,0.11,0.43,0.54,0.90,1.12,0.32,432.29
199,1141,0.01,0.34,0.55,0.12,0.43,0.56,0.61,1.21,0.35,434.46
200,1136,0.01,0.35,0.57,0.11,0.43,0.57,0.82,0.91,0.37,436.55
201,1145,0.01,0.35,0.57,0.14,0.45,0.55,1.11,0.95,0.19,438.80
202,1141,0.01,0.35,0.56,0.14,0.44,0.55,0.90,1.61,0.28,441.60
203,1140,0.02,0.36,0.57,0.12,0.44,0.56,0.85,1.38,0.36,444.19
204,1137,0.01,0.35,0.56,0.12,0.43,0.54,0.76,0.92,0.38,446.25
205,1145,0.01,0.34,0.56,0.11,0.42,0.54,0.89,1.01,0.20,448.35
206,1147,0.01,0.35,0.57,0.12,0.43,0.55,0.68,1.13,0.21,450.37
207,1142,0.01,0.33,0.56,0.13,0.43,0.54,1.11,0.91,0.30,452.69
208,1141,0.01,0.36,0.56,0.11,0.46,0.57,0.92,1.16,0.41,455.18
209,1142,0.01,0.33,0.56,0.13,0.43,0.55,0.80,0.94,0.21,457.13
210,1136,0.01,0.35,0.56,0.11,0.42,0.52,0.88,1.17,0.45,459.62
211,1144,0.01,0.35,0.56,0.10,0.45,0.56,0.76,1.00,0.35,461.74
212,1137,0.01,0.36,0.57,0.11,0.46,0.58,1.04,1.18,0.20,464.17
213,1140,0.01,0.34,0.56,0.11,0.44,0.55,1.02,1.15,0.40,466.74
214,1143,0.01,0.38,0.57,0.10,0.40,0.50,0.72,1.10,0.43,468.98
215,1149,0.01,0.34,0.55,0.10,0.44,0.56,1.06,1.28,0.30,471.62
216,1141,0.01,0.38,0.59,0.12,0.44,0.58,0.82,1.84,0.36,474.64
217,1145,0.01,0.34,0.56,0.11,0.42,0.54,0.67,1.35,0.24,476.90
218,1144,0.01,0.34,0.56,0.12,0.45,0.57,0.93,1.17,0.19,479.19
219,1145,0.02,0.33,0.55,0.10,0.42,0.53,0.65,1.26,0.36,481.46
220,1140,0.01,0.35,0.56,0.12,0.42,0.54,1.08,0.92,0.19,483.65
221,1144,0.01,0.35,0.55,0.12,0.44,0.57,0.95,1.11,0.42,486.13
222,1142,0.01,0.37,0.56,0.13,0.41,0.52,0.88,0.99,0.43,488.43
223,1144,0.02,0.38,0.59,0.13,0.44,0.58,1.08,1.40,0.24,491.15
224,1145,0.01,0.35,0.57,0.12,0.42,0.54,0.75,1.72,0.45,494.07
225,1152,0.01,0.31,0.55,0.10,0.44,0.57,0.71,0.97,0.21,495.96
226,1141,0.01,0.34,0.56,0.15,0.40,0.52,0.96,1.33,0.47,498.73
227,1145,0.01,0.35,0.57,0.13,0.42,0.55,0.73,1.04,0.40,500.91
228,1147,0.01,0.34,0.56,0.12,0.43,0.56,0.96,1.45,0.28,503.60
229,1147,0.01,0.32,0.55,0.12,0.43,0.55,1.06,1.47,0.45,506.58
230,1143,0.01,0.33,0.56,0.11,0.45,0.58,0.74,1.03,0.50,508.85
231,1148,0.01,0.33,0.55,0.12,0.42,0.52,1.05,1.64,0.25,511.80
232,1145,0.02,0.34,0.57,0.14,0.47,0.60,0.74,1.64,0.45,514.62
233,1146,0.02,0.33,0.55,0.09,0.45,0.57,1.00,1.05,0.19,516.86
234,1162,0.02,0.33,0.55,0.11,0.44,0.56,0.91,1.50,0.56,519.84
235,1148,0.01,0.34,0.57,0.12,0.48,0.61,0.82,0.85,0.35,521.85
236,1143,0.01,0.36,0.56,0.11,0.44,0.57,0.96,1.46,0.44,524.71
237,1140,0.01,0.37,0.57,0.11,0.45,0.59,0.88,0.93,0.21,526.73
238,1141,0.01,0.36,0.56,0.12,0.43,0.57,1.07,1.45,0.45,529.71
239,1140,0.02,0.37,0.57,0.10,0.40,0.54,0.89,1.09,0.19,531.87
240,1140,0.01,0.33,0.56,0.11,0.43,0.56,0.94,1.86,0.32,535.00
241,1149,0.01,0.34,0.56,0.11,0.39,0.51,0.86,1.00,0.42,537.28
242,1160,0.01,0.34,0.56,0.12,0.44,0.56,0.96,1.75,0.22,540.21
243,1142,0.01,0.36,0.57,0.10,0.43,0.55,0.68,1.10,0.24,542.24
244,1136,0.02,0.34,0.56,0.11,0.43,0.55,1.07,1.60,0.21,545.12
245,1146,0.01,0.33,0.56,0.12,0.44,0.56,0.71,1.57,0.44,547.85
246,1144,0.01,0.35,0.56,0.13,0.44,0.56,1.10,1.02,0.20,550.17
247,1155,0.02,0.34,0.56,0.13,0.49,0.62,0.93,1.30,0.48,552.88
248,1149,0.01,0.34,0.56,0.13,0.42,0.52,0.94,1.05,0.21,555.09
249,1143,0.01,0.35,0.56,0.12,0.44,0.55,0.90,1.24,0.41,557.64
250,1145,0.01,0.35,0.56,0.11,0.46,0.60,0.89,1.09,0.21,559.83
251,1143,0.01,0.34,0.56,0.13,0.48,0.60,0.90,2.19,0.25,563.17
252,1148,0.01,0.34,0.56,0.11,0.43,0.54,0.73,1.46,0.46,565.82
253,1140,0.01,0.32,0.56,0.13,0.44,0.56,1.09,0.93,0.32,568.17
254,1144,0.02,0.34,0.56,0.12,0.42,0.53,0.61,1.30,0.45,570.53
255,1142,0.01,0.34,0.56,0.17,0.45,0.58,1.10,0.99,0.25,572.88
256,1145,0.01,0.35,0.56,0.13,0.44,0.57,0.73,1.36,0.44,575.41
257,1152,0.01,0.34,0.56,0.16,0.46,0.56,1.15,0.96,0.22,577.74
258,1149,0.01,0.33,0.56,0.15,0.45,0.56,0.66,1.25,0.27,579.92
259,1154,0.01,0.34,0.56,0.16,0.47,0.58,1.14,1.50,0.29,582.84
260,1147,0.02,0.35,0.56,0.11,0.46,0.58,0.90,1.56,0.44,585.73
261,1151,0.01,0.35,0.56,0.12,0.41,0.51,1.03,1.02,0.22,588.00
262,1147,0.02,0.37,0.56,0.11,0.44,0.55,0.98,1.12,0.48,590.58
263,1151,0.02,0.35,0.56,0.12,0.44,0.53,1.01,1.00,0.22,592.81
264,1141,0.01,0.38,0.57,0.13,0.46,0.59,0.75,1.57,0.45,595.57
265,1146,0.01,0.34,0.56,0.11,0.43,0.56,1.04,1.09,0.20,597.91
266,1149,0.02,0.33,0.56,0.12,0.44,0.56,0.91,1.45,0.41,600.68
267,1147,0.02,0.38,0.58,0.11,0.44,0.56,0.85,1.10,0.22,602.85
268,1144,0.01,0.38,0.57,0.11,0.44,0.55,0.82,1.55,0.48,605.71
269,1143,0.01,0.35,0.57,0.12,0.44,0.56,0.87,1.17,0.66,608.41
270,1133,0.01,0.35,0.56,0.11,0.43,0.53,1.07,2.01,0.38,611.87
271,1143,0.01,0.35,0.56,0.11,0.44,0.56,0.72,1.59,0.48,614.67
272,1143,0.01,0.34,0.56,0.12,0.47,0.59,1.08,1.08,0.23,617.05
273,1144,0.01,0.35,0.56,0.11,0.46,0.56,0.82,1.83,0.50,620.21
274,1144,0.01,0.35,0.56,0.08,0.44,0.54,0.81,1.29,0.35,622.67
275,1139,0.01,0.33,0.56,0.07,0.44,0.55,1.31,1.47,0.21,625.66
276,1142,0.01,0.34,0.56,0.08,0.42,0.54,0.87,1.63,0.48,628.64
277,1139,0.01,0.34,0.56,0.11,0.43,0.53,0.68,1.14,0.32,630.77
278,1142,0.02,0.37,0.57,0.11,0.43,0.56,0.75,1.43,0.48,633.43
279,1143,0.01,0.33,0.56,0.13,0.42,0.52,0.83,1.20,0.43,635.89
280,1144,0.01,0.36,0.58,0.13,0.45,0.58,1.01,1.72,0.22,638.84
281,1136,0.02,0.33,0.56,0.14,0.46,0.58,0.66,1.31,0.48,641.28
282,1138,0.01,0.35,0.56,0.15,0.42,0.55,1.26,1.15,0.22,643.91
283,1143,0.01,0.37,0.59,0.14,0.42,0.54,0.99,1.42,0.44,646.76
284,1148,0.02,0.37,0.59,0.12,0.44,0.56,0.99,1.17,0.23,649.14
285,1150,0.01,0.35,0.57,0.12,0.42,0.55,0.87,1.93,0.49,652.44
286,1149,0.02,0.37,0.58,0.13,0.42,0.56,0.83,1.22,0.24,654.72
287,1139,0.01,0.36,0.60,0.14,0.45,0.57,1.02,1.71,0.21,657.67
288,1145,0.02,0.35,0.58,0.15,0.42,0.54,0.61,1.47,0.47,660.22
289,1143,0.01,0.36,0.58,0.11,0.45,0.58,1.30,1.24,0.22,662.98
290,1136,0.02,0.36,0.58,0.10,0.44,0.56,0.84,1.86,0.45,666.13
291,1138,0.01,0.34,0.58,0.11,0.45,0.57,0.67,1.20,0.35,668.35
292,1150,0.01,0.36,0.58,0.10,0.40,0.51,0.80,1.84,0.52,671.51
293,1148,0.01,0.36,0.58,0.12,0.44,0.56,0.74,1.18,0.49,673.92
294,1148,0.01,0.34,0.58,0.10,0.44,0.55,1.04,1.84,0.29,677.09
295,1148,0.01,0.33,0.58,0.11,0.43,0.52,0.65,1.82,0.52,680.08
296,1142,0.01,0.37,0.58,0.13,0.46,0.58,0.93,1.20,0.22,682.44
297,1147,0.01,0.34,0.58,0.12,0.44,0.55,0.87,1.52,0.49,685.32
298,1143,0.01,0.33,0.58,0.11,0.43,0.56,1.06,1.09,0.23,687.70
299,1144,0.02,0.34,0.58,0.13,0.46,0.58,0.87,1.41,0.48,690.46
300,1158,0.01,0.35,0.58,0.12,0.43,0.54,1.30,1.12,0.32,693.20
301,1148,0.02,0.34,0.58,0.13,0.46,0.57,0.60,1.51,0.52,695.83
302,1146,0.01,0.39,0.62,0.14,0.43,0.53,1.00,1.37,0.24,698.43
303,1140,0.01,0.35,0.58,0.15,0.43,0.52,0.76,1.27,0.54,701.00
304,1147,0.01,0.36,0.58,0.15,0.45,0.56,0.98,1.78,0.39,704.14
305,1149,0.02,0.38,0.59,0.15,0.46,0.56,0.85,1.91,0.52,707.42
306,1156,0.02,0.37,0.58,0.15,0.42,0.53,0.78,1.30,0.24,709.74
307,1146,0.01,0.38,0.58,0.15,0.44,0.55,0.85,2.43,0.36,713.38
